"city","year","lts","run_timestamp","population","avg_distance_m","avg_circuity","avg_dist_change_pct","pct_ci_route","pct_lts1","pct_lts2","pct_lts3","pct_lts4","access_15min_vol","total_road_m","total_ci_m","pct_ci_total","pct_lts1_total","pct_lts2_total","pct_lts3_total","pct_lts4_total","ci_type_sep_m","ci_type_paint_m","ci_type_mixed_m","ci_type_foot_m","found_routes","avg_dist_km","processing_time_minutes"
"Milan",2016,3,"20260225_225931",2125831,6766.03,1.37,0,9.53,31.1,4.84,62.1,1.92,115093411,4607478.315,199800,4.34,43.37,2.25,37.09,17.29,115172,19404,3553,61671,19987,NA,NA
"Milan",2016,4,"20260225_225931",2125831,6361.37,1.29,0,8.35,22.15,3.5,45.01,29.3,141500337,4607478.315,199800,4.34,43.37,2.25,37.09,17.29,115172,19404,3553,61671,19994,NA,NA
"Milan",2021,1,"20260225_225931",2125831,7164.12,1.47,2.98,20.17,78.2,2.48,14.41,4.88,43327289,5082725.66,279794,5.5,49.83,3.25,30.44,16.49,167345,38262,4219,69968,19441,NA,NA
"Milan",2021,2,"20260225_225931",2125831,7224.66,1.47,2.19,18.14,72.81,9.58,13.1,4.47,50995834,5082725.66,279794,5.5,49.83,3.25,30.44,16.49,167345,38262,4219,69968,19687,NA,NA
"Milan",2021,3,"20260225_225931",2125831,6744.99,1.36,-0.31,12.99,39.48,7.64,51.07,1.77,112743763,5082725.66,279794,5.5,49.83,3.25,30.44,16.49,167345,38262,4219,69968,19994,NA,NA
"Milan",2021,4,"20260225_225931",2125831,6384.5,1.29,0.36,15.67,28.21,5.51,36.85,29.39,137051984,5082725.66,279794,5.5,49.83,3.25,30.44,16.49,167345,38262,4219,69968,19994,NA,NA
"Milan",2026,1,"20260225_225931",2125831,7162.85,1.44,2.96,25.56,93.61,1.26,2.72,2.37,66586810,5486026.784,358958,6.54,64.27,5.72,15.02,15,243586,38368,4175,72829,19941,NA,NA
"Milan",2026,2,"20260225_225931",2125831,7120.21,1.43,0.71,23.65,86.31,8.86,2.65,2.14,75637427,5486026.784,358958,6.54,64.27,5.72,15.02,15,243586,38368,4175,72829,19965,NA,NA
"Milan",2026,3,"20260225_225931",2125831,6838.69,1.38,1.07,22.87,65.85,9.99,22.29,1.83,96693113,5486026.784,358958,6.54,64.27,5.72,15.02,15,243586,38368,4175,72829,19975,NA,NA
"Milan",2026,4,"20260225_225931",2125831,6508.69,1.32,2.32,22.81,45.49,7.05,19.35,28.08,119303374,5486026.784,358958,6.54,64.27,5.72,15.02,15,243586,38368,4175,72829,19976,NA,NA
"Minneapolis",2016,1,"20260226_003201",1491887,8032.49,1.55,0,38.54,83.53,3.21,10.24,2.97,63425870,7155156.985,288540,4.03,56.11,6.34,27.1,10.46,122625,124340,5504,36071,19940,NA,NA
"Minneapolis",2016,2,"20260226_003201",1491887,7564.89,1.47,0,43.53,64.79,23.83,8.76,2.57,101896647,7155156.985,288540,4.03,56.11,6.34,27.1,10.46,122625,124340,5504,36071,19969,NA,NA
"Minneapolis",2016,3,"20260226_003201",1491887,6984.05,1.36,0,34.94,35.87,16.75,46.33,1,260569294,7155156.985,288540,4.03,56.11,6.34,27.1,10.46,122625,124340,5504,36071,19969,NA,NA
"Minneapolis",2016,4,"20260226_003201",1491887,6633.8,1.3,0,24.47,23.91,12.08,36.09,27.88,376980538,7155156.985,288540,4.03,56.11,6.34,27.1,10.46,122625,124340,5504,36071,19969,NA,NA
"Minneapolis",2021,1,"20260226_003201",1491887,7721.65,1.49,-3.87,38.47,86.88,2.31,6.92,3.84,84862990,8011254.587,440995,5.5,62.14,6.87,20.72,10.27,176320,171875,56149,36651,19984,NA,NA
"Minneapolis",2021,2,"20260226_003201",1491887,7561.73,1.46,-0.04,41.58,70.56,20.66,5.68,3.06,120914518,8011254.587,440995,5.5,62.14,6.87,20.72,10.27,176320,171875,56149,36651,19998,NA,NA
"Minneapolis",2021,3,"20260226_003201",1491887,7021.15,1.37,0.53,41.81,45.86,14.61,37.96,1.53,255167742,8011254.587,440995,5.5,62.14,6.87,20.72,10.27,176320,171875,56149,36651,20000,NA,NA
"Minneapolis",2021,4,"20260226_003201",1491887,6655.27,1.3,0.32,39.68,33.73,11.44,28.44,26.35,377999614,8011254.587,440995,5.5,62.14,6.87,20.72,10.27,176320,171875,56149,36651,20000,NA,NA
"Minneapolis",2026,1,"20260226_003201",1491887,7334.69,1.42,-8.69,45.71,95.13,2.8,0.58,1.48,135605341,8494334.707,499679,5.88,75.6,11.69,4.63,8.08,255898,175783,55229,12768,19999,NA,NA
"Minneapolis",2026,2,"20260226_003201",1491887,6976.16,1.36,-7.78,43.1,64.1,34.37,0.61,0.91,243566450,8494334.707,499679,5.88,75.6,11.69,4.63,8.08,255898,175783,55229,12768,20000,NA,NA
"Minneapolis",2026,3,"20260226_003201",1491887,6879.92,1.34,-1.49,45.7,57.02,33.97,8.29,0.71,292294065,8494334.707,499679,5.88,75.6,11.69,4.63,8.08,255898,175783,55229,12768,20000,NA,NA
